"CODE_GESIS","NOM_DANS_GESIS","UID_DHIS2","NOM_DANS_DHIS2","DISTRICT","REGION",,,
220141001,"CSB2 Ambatoafo","k7upWleH3nj","CSB2 Ambatoafo","Sambava","SAVA",,,
220151009,"CSB1 Ambariotelo","DpNKdg1Axgi","CSB1 Ambariotelo","Sambava","SAVA",,,
220151042,"CSB1 Ambatojoby","u3Rf0HIQFdQ","CSB1 Ambatojoby","Sambava","SAVA",,,
220151030,"CSB1 Ambodiampana Marogaona","ijZeORc5tDP","CSB1 Ambodiampana Marogaona","Sambava","SAVA",,,
220151038,"CSB1 Ambodibonara","cJG4IedMdn9","CSB1 Ambodibonara","Sambava","SAVA",,,
220151003,"CSB1 Andapabe","hTP0Q3ijH7o","CSB1 Andapabe","Sambava","SAVA",,,
220151015,"CSB1 Andatsakala","IJW1PEdz7z4","CSB1 Andatsakala","Sambava","SAVA",,,
220151040,"CSB1 Antsahabe","SJVAYdSrD1o","CSB1 Antsahabe","Sambava","SAVA",,,
220151010,"CSB1 Antsahalalina","JXXTLIjVlPF","CSB1 Antsahalalina","Sambava","SAVA",,,
220151041,"CSB1 Mahatsara","XuYbrt7ZpbP","CSB1 Mahatsara","Sambava","SAVA",,,
220151007,"CSB1 Tsaratanana","QK4f1AmLgEx","CSB1 Tsaratanana","Sambava","SAVA",,,
220151043,"CSB1Andrasaha","P7V6VGT25wV","CSB1 Andrasaha","Sambava","SAVA",,,
220141002,"CSB2 Amboangibe","tUTcgIioi9j","CSB2 Amboangibe","Sambava","SAVA",,,
220141004,"CSB2 Ambodiampana Lokoho","P1w3as9DWPI","CSB2 Ambodiampana Lokoho","Sambava","SAVA",,,
220141006,"CSB2 Ambodivoara","EBSzSAeimbj","CSB2 Ambodivoara","Sambava","SAVA",,,
220141008,"CSB2 Ambohimalaza","sic3dzZPUlT","CSB2 Ambohimalaza","Sambava","SAVA",,,
220141011,"CSB2 Ambohimitsinjo","ESXKd6XqL9I","CSB2 Ambohimitsinjo","Sambava","SAVA",,,
220141044,"CSB2 Ambohitrakongona","hhSlcQsxhOL","CSB2 Ambohitrakongona","Sambava","SAVA",,,
220141012,"CSB2 Analamaho","vFkgaTYw1XF","CSB2 Analamaho","Sambava","SAVA",,,
220141013,"CSB2 Andrahanjo","D5kMnH9DKxk","CSB2 Andrahanjo","Sambava","SAVA",,,
220143018,"CSB2 Andranomadio","vWE6lM51ZC9","FSP_Cabinet de Soin Andranomadio","Sambava","SAVA",,,
220141014,"CSB2 Andratamarina","jcoNsu0eDR0","CSB2 Andratamarina","Sambava","SAVA",,,
220141017,"CSB2 Anjangoveratra","ZedvMKlTMB4","CSB2 Anjangoveratra","Sambava","SAVA",,,
