cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,c0015a_NC,c0015a_CONS,c0015a_EXTRACT,c0015a_SOB,c0015a_AUTSOINS,c0015a_RADIO,c1599a_NC,c1599a_CONS,c1599a_EXTRACT,c1599a_SOB,c1599a_AUTSOINS,c1599a_RADIO
2015,140409,140442928,7,21,,,,,,,,,,,,
2015,140409,140442928,8,21,,,,,,,,,,,,
2015,140409,140442928,10,21,,,,,,,,,,,,
2015,140409,140442928,11,21,,,,,,,,,,,,
2015,140409,140442928,12,21,,,,,,,,,,,,
2015,140413,140451310,5,21,,,,,,,,,,,,
2015,140413,140451310,6,21,,,,,,,,,,,,
2015,140413,140451310,7,21,,,,,,,,,,,,
2015,140413,140451310,8,21,,,,,,,,,,,,
2015,140413,140451310,9,21,,,,,,,,,,,,
2015,140413,140451310,10,21,,,,,,,,,,,,
2015,140413,140451310,11,21,,,,,,,,,,,,
2015,140413,140451310,12,21,,,,,,,,,,,,
2015,140414,140441401,5,21,,,,,,,,,,,,
2015,140414,140441401,6,21,,,,,,,,,,,,
2015,140414,140441401,7,21,,,,,,,,,,,,
2015,140414,140441401,8,21,,,,,,,,,,,,
2015,140414,140441401,9,21,,,,,,,,,,,,
2015,140414,140441401,10,21,,,,,,,,,,,,
2015,140414,140441401,11,21,,,,,,,,,,,,
2015,140414,140441401,12,21,,,,,,,,,,,,
2015,210101,210142005,4,21,,,,,,,,,,,,
2015,210101,210142005,5,21,,,,,,,,,,,,
2015,210101,210142005,6,21,,,,,,,,,,,,
2015,210101,210143014,4,21,,,,,,,,,,,,
2015,210101,210143014,5,21,,,,,,,,,,,,
2015,210101,210143014,7,21,,,,,,,,,,,,
2015,210101,210143014,8,21,,,,,,,,,,,,
2015,210101,210143014,9,21,,,,,,,,,,,,
2015,210101,210143014,10,21,,,,,,,,,,,,
2015,210101,210143014,11,21,,,,,,,,,,,,
2015,210101,210143014,12,21,,,,,,,,,,,,
2015,210202,210251003,5,21,,,,,,,,,,,,
2015,210202,210251003,6,21,,,,,,,,,,,,
2015,210202,210251003,7,21,,,,,,,,,,,,
2015,210202,210251003,8,21,,,,,,,,,,,,
2015,210202,210251003,9,21,,,,,,,,,,,,
2015,210202,210251003,10,21,,,,,,,,,,,,
2015,210202,210251003,11,21,,,,,,,,,,,,
